annual_key,issuer_key,cik,period_end,revenue,net_income,operating_income,operating_cash_flow,assets,liabilities,equity,current_assets,current_liabilities,cash,latest_evidence_filed,available_metrics,net_margin,operating_margin,current_ratio,liabilities_to_assets,cash_flow_margin,filing_date_cutoff
e8f3a62dece76319ba1ef2c579a6bfe2,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2022-12-31,20028000000.0000,8749000000.0000,10140000000.0000,8720000000.0000,27207000000.0000,12630000000.0000,14577000000.0000,14021000000.0000,2985000000.0000,3050000000.0000,2025-02-14,10,0.43683842620331537,0.5062911923307369,4.69715242881072,0.46421876722902194,0.4353904533652886,2026-09-17
463c91781f15c03089ca7b86e2f9e41d,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2016-12-31,13370000000.0000,3595000000.0000,4855000000.0000,4614000000.0000,16431000000.0000,5958000000.0000,10473000000.0000,7457000000.0000,2264000000.0000,1154000000.0000,2019-02-22,10,0.268885564697083,0.3631264023934181,3.293727915194346,0.36260726675187144,0.3451009723261032,2026-09-17
93b821c3000d2c1d4e3854dd68debf97,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2023-12-31,17519000000.0000,6510000000.0000,7331000000.0000,6420000000.0000,32348000000.0000,15451000000.0000,16897000000.0000,15122000000.0000,3320000000.0000,2964000000.0000,2026-02-06,10,0.37159655231462985,0.4184599577601461,4.554819277108434,0.4776493137133671,0.36645927278954277,2026-09-17
dac757915c3f529b3d437487e9fb1f32,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2015-12-31,13000000000.0000,2986000000.0000,4322000000.0000,,16230000000.0000,6284000000.0000,9946000000.0000,7074000000.0000,2555000000.0000,1000000000.0000,2019-02-22,9,0.2296923076923077,0.3324615384615385,2.768688845401174,0.3871842267406038,,2026-09-17
2e17f00516b81edf2c264224ba851ad7,3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,2020-12-31,14461000000.0000,5595000000.0000,5894000000.0000,6139000000.0000,19351000000.0000,10164000000.0000,9187000000.0000,10239000000.0000,2390000000.0000,3107000000.0000,2023-02-03,10,0.38690270382407854,0.4075790056012724,4.284100418410042,0.5252441734277299,0.42452112578659845,2026-09-17
b712eceebfa90fa3bd05b43597fb0e86,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2021-06-30,3337800000.0000,131600000.0000,199300000.0000,369700000.0000,2274900000.0000,,-303300000.0000,207200000.0000,571600000.0000,23900000.0000,2024-08-21,9,0.039427167595422134,0.05970998861525556,0.3624912526242127,,0.11076157948349212,2026-09-17
1c05cf2a2a6c0d5885bb87ae14e2c464,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2024-06-26,4415100000.0000,155300000.0000,229600000.0000,421900000.0000,2593100000.0000,,39400000.0000,234100000.0000,622300000.0000,64600000.0000,2026-08-19,9,0.03517474122896424,0.05200335213245453,0.3761851197171782,,0.09555842449774637,2026-09-17
79fd7b4bf25097b0ebf189b279b27043,78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,2026-06-24,5807400000.0000,487000000.0000,619900000.0000,789400000.0000,2815000000.0000,,443700000.0000,307700000.0000,676700000.0000,110000000.0000,2026-08-19,9,0.0838585253297517,0.1067431208458174,0.4547066646963204,,0.13593002031890347,2026-09-17
60e96ccdb4768fd0dbee97b446b82f01,df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,2023-12-31,122428000000.0000,14400000000.0000,23461000000.0000,38314000000.0000,407060000000.0000,,117442000000.0000,36458000000.0000,51127000000.0000,6722000000.0000,2026-02-09,9,0.11762015225275264,0.19163099944457151,0.7130870186007393,,0.31295128565360864,2026-09-17
2b4b77890d2f04231c34bbeeda58367b,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2024-09-30,36801400000.0000,4756400000.0000,,2189800000.0000,36104300000.0000,10279900000.0000,25824400000.0000,,,4516400000.0000,2025-11-19,7,0.129245083067492,,,0.28472785790058247,0.05950317107501345,2026-09-17
970e6bedc1d2dcc0ccda32e7d8ae603e,8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,2023-09-30,35460400000.0000,4745700000.0000,,4304100000.0000,32582400000.0000,9444500000.0000,23137900000.0000,,,3873600000.0000,2025-11-19,7,0.1338309776539464,,,0.2898650805342762,0.12137764943429855,2026-09-17
