fact_id,cik,metric,concept,period_start,period_end,accession,filed,value,previous_value,change_amount,relative_change,source_sha,bronze_path
4418f71cad051941495e63bcf091080484e28c0cecb51dce43f252d7c596ed9d,92380,net_income,NetIncomeLoss,2016-01-01,2016-12-31,0000092380-19-000022,2019-02-05,2183000000.0000,2244000000.0000,-61000000.0000,-0.027183600713012478,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,bronze/cik=92380/7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b.json.gz
160207957622ad1da485af633137680872cead5f904f01f3498889e7a88d98b9,882184,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2015-10-01,2016-09-30,0000882184-18-000120,2018-11-16,623900000.0000,618000000.0000,5900000.0000,0.009546925566343041,d354326179bcea875450e68de79204f60b14ba93a6fb679d0ed9c8b70e3322f7,bronze/cik=882184/d354326179bcea875450e68de79204f60b14ba93a6fb679d0ed9c8b70e3322f7.json.gz
01ea8eb15f7e409907eea759f95f2fbd889cb554ede0f7be684508a2fe272558,1138118,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2021-01-01,2021-12-31,0001138118-24-000006,2024-02-20,26950000000.0000,26950366000.0000,-366000.0000,-1.3580520576232619e-05,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
dbd465018d0ec47c713fd8cbf36268d04c468f3e20d737bd31fbfefa5d03338b,1138118,revenue,Revenues,2021-01-01,2021-12-31,0001138118-24-000006,2024-02-20,27746000000.0000,27746036000.0000,-36000.0000,-1.29748263860106e-06,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
36c7713f614c896a11d2a7d638aafac9da6df216fae516e766033d5ca79b5b3e,1138118,revenue,Revenues,2022-01-01,2022-12-31,0001138118-24-000006,2024-02-20,30828000000.0000,30828246000.0000,-246000.0000,-7.979694984917403e-06,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
142c58f7f977cf21e2a42db277ec5027653dcbedcb5cb55518d1295ed3e7d562,1636222,equity,StockholdersEquity,,2016-12-31,0001636222-19-000039,2019-02-27,-81430000.0000,-74628000.0000,-6802000.0000,-0.09114541458969824,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
0a876121fb56b67bd15b237138d01e4b88f6c1b77505c5e177c11e0159433e26,92380,equity,StockholdersEquity,,2017-12-31,0000092380-19-000022,2019-02-05,9641000000.0000,10430000000.0000,-789000000.0000,-0.07564717162032598,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,bronze/cik=92380/7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b.json.gz
0a5628c202ec6874ac1f9047da39b87a55c364d96a480fdb0b466939339ea883,703351,cash,CashAndCashEquivalentsAtCarryingValue,,2018-06-27,0000703351-19-000037,2019-08-22,10900000.0000,10872000.0000,28000.0000,0.0025754231052244297,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
8206ea1a00f995c1386a7b295b0f0deab568d6367949a0ce421d19bef9d8f8cf,703351,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2015-06-25,2016-06-29,0000703351-18-000036,2018-08-27,400160000.0000,394700000.0000,5460000.0000,0.013833291107170003,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
bcb1b5c3df27f1e84c673e587d6f77a6ba0d08942ff6a38bb4a476b4228b0d1c,703351,equity,StockholdersEquity,,2016-06-29,0000703351-17-000030,2017-08-28,-225576000.0000,-213099000.0000,-12477000.0000,-0.05855025129165318,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
2b991e41e4feb04457ba89343dd0ba9d8608376b9751e73e26b1f9cdc11537d4,703351,equity,StockholdersEquity,,2016-06-29,0000703351-19-000037,2019-08-22,-225500000.0000,-225576000.0000,76000.0000,0.00033691527467461077,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
03287ffd4e7b2d6bb3305cf55524b29562753090786358d005e9a374859f5d67,732717,cash,CashAndCashEquivalentsAtCarryingValue,,2021-12-31,0000732717-23-000011,2023-02-13,19223000000.0000,21169000000.0000,-1946000000.0000,-0.09192687420284378,483db761a498797a4ba14df701a0404a8cc8d21b7409984eb1e722cb089f3dbb,bronze/cik=732717/483db761a498797a4ba14df701a0404a8cc8d21b7409984eb1e722cb089f3dbb.json.gz
71b11a45e489fbb57388c6ac2890abf80cf40263577fb5ec08eb363fb679c2e6,882184,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-01,2017-09-30,0000882184-18-000120,2018-11-16,440200000.0000,435100000.0000,5100000.0000,0.01172144334635716,d354326179bcea875450e68de79204f60b14ba93a6fb679d0ed9c8b70e3322f7,bronze/cik=882184/d354326179bcea875450e68de79204f60b14ba93a6fb679d0ed9c8b70e3322f7.json.gz
8e7466046f1e4f80d3cb01b060cba0032ee1dc0b8cfcafdc100d679f9e0adf9a,1138118,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,0001564590-20-008056,2020-03-02,20778100000.0000,20658939000.0000,119161000.0000,0.005768011609889549,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
508ea817e431bb5968e8ea749dcbd8f762220409afd3448a79e578220e324641,1138118,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2022-01-01,2022-12-31,0001138118-24-000006,2024-02-20,30174000000.0000,30173752000.0000,248000.0000,8.219064039500291e-06,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
